"NDB_No","FdGrp_Cd","Long_Desc"
"01056","0100","Cream, sour, cultured"
"01077","0100","Milk, whole, 3.25% milkfat"
"01079","0100","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A"
"01116","0100","Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
"01123","0100","Egg, whole, raw, fresh"
"02019","0200","Spices, fenugreek seed"
"02046","0200","Mustard, prepared, yellow"
"03841","0300","Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, ready-to-feed"
"03843","0300","Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted"
"03890","0300","Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, Soy, ready-to-feed, (formerly WYETH-AYERST)"
"03891","0300","Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, soy, liquid concentrate, (formerly WYETH-AYERST)"
"03893","0300","Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, Soy, powder, (formerly WYETH-AYERST)"
"03931","0300","Infant formula, ENFAMIL NEXT STEP, powder,  soy formula, not reconstituted"
"04044","0400","Oil, soybean, salad or cooking"
"05323","0500","Chicken patty, frozen, uncooked"
"05327","0500","Chicken breast tenders, uncooked"
"06016","0600","Soup, cream of chicken, canned, condensed"
"06019","0600","Soup, chicken noodle, canned, condensed"
"06043","0600","Soup, cream of mushroom, canned, condensed"
"06065","0600","Soup, turkey noodle, canned, condensed"
"06071","0600","Soup, vegetable beef, canned, condensed"
"06075","0600","Soup, beef broth or bouillon, powder, dry"
"06118","0600","Gravy, brown, dry"
"06119","0600","Gravy, chicken, canned, ready-to-serve"
"06121","0600","Gravy, mushroom, canned"
"06122","0600","Gravy, mushroom, dry, powder"
"06125","0600","Gravy, turkey, canned, ready-to-serve"
"06175","0600","Sauce, hoisin, ready-to-serve"
"06183","0600","Soup, chicken broth, canned, less/reduced sodium"
"06194","0600","Soup, Chicken Broth, canned, ready-to-serve"
"06419","0600","Soup, chicken noodle, canned, prepared with equal volume water"
"06468","0600","Soup, vegetarian vegetable, canned, prepared with equal volume water"
"06971","0600","Sauce, worcestershire"
"06982","0600","Soup, ramen noodle, beef flavor, dry"
"06983","0600","Soup, ramen noodle, chicken flavor, dry"
"07022","0700","Frankfurter, beef"
"07023","0700","Frankfurter, beef and pork"
"07029","0700","Ham, sliced, regular (approximately 11% fat)"
"07075","0700","Sausage, smoked link sausage, pork and beef"
"07083","0700","Sausage, Vienna, canned, chicken, beef, pork"
"07905","0700","Frankfurter, beef, pork, and turkey, fat free"
"07956","0700","Beef sausage, fresh, cooked"
"08001","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original"
"08013","0800","Cereals ready-to-eat, GENERAL MILLS, CHEERIOS"
"08020","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes"
"08060","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN"
"08065","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES"
"08067","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K"
"08090","0800","Cereals, corn grits, white, regular and quick, enriched, dry"
"08102","0800","Cereals, CREAM OF WHEAT, regular, dry"
"08234","0800","Cereals, QUAKER, oatmeal, instant, low sodium, prepared with water"
"08385","0800","Cereals ready-to-eat, KELLOGG'S, SMART START Soy Protein"
"08390","0800","Cereals ready-to-eat, KASHI Good Friends by Kellogg"
"08393","0800","Cereals ready-to-eat, KASHI GOLEAN by Kellogg"
"09003","0900","Apples, raw, with skin"
"09004","0900","Apples, raw, without skin"
"09005","0900","Apples, raw, without skin, cooked, boiled"
"09016","0900","Apple juice, canned or bottled, unsweetened, without added ascorbic acid"
"09021","0900","Apricots, raw"
"09024","0900","Apricots, canned, juice pack, with skin, solids and liquids"
"09032","0900","Apricots, dried, sulfured, uncooked"
"09037","0900","Avocados, raw, all commercial varieties"
"09040","0900","Bananas, raw"
"09042","0900","Blackberries, raw"
"09050","0900","Blueberries, raw"
"09070","0900","Cherries, sweet, raw"
"09078","0900","Cranberries, raw"
"09083","0900","Currants, european black, raw"
"09087","0900","Dates, deglet noor"
"09089","0900","Figs, raw"
"09094","0900","Figs, dried, uncooked"
"09099","0900","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids"
"09107","0900","Gooseberries, raw"
"09112","0900","Grapefruit, raw, pink and red, all areas"
"09116","0900","Grapefruit, raw, white, all areas"
"09120","0900","Grapefruit, sections, canned, juice pack, solids and liquids"
"09123","0900","Grapefruit juice, white, canned, unsweetened"
"09148","0900","Kiwi fruit, (chinese gooseberries), fresh, raw"
"09152","0900","Lemon juice, raw"
"09176","0900","Mangos, raw"
"09181","0900","Melons, cantaloupe, raw"
"09184","0900","Melons, honeydew, raw"
"09191","0900","Nectarines, raw"
"09194","0900","Olives, ripe, canned (jumbo-super colossal)"
"09200","0900","Oranges, raw, all commercial varieties"
"09202","0900","Oranges, raw, navels"
